DatGeracaoConjuntoDados;SigAgenteFiscalizador;NumAutoInfracao;DatLavraturaAutoInfracao;NomNaturezaFiscalizacao;DscObjetoFiscalizado;CodObjetoFiscalizado;NomAgenteFiscalizado;NumCPFCNPJAgenteFiscalizado;NumProcessoPunitivo;NumProcessoPunitivoANEEL;DatRecebimentoAutoInfracao;DscTipoPenalidade;VlrPenalidade;DtRecebimentoRecurso;DatDecisaoJuizo;DscDecisaoCompletaJuizo;DscAtoJuizo;VlrMultaAposJuizo;DatDecisaoDiretoria;DscDecisaoCompletaDiretoria;DscAtoDiretoria;VlrMultaAposDiretoria;NumTermoEncerramento;DatLavraturaTE;DscEnquadramentoAI;NumTermoNotificacao;NumProcessoFiscalizacao
01/10/2023;ANEEL;0008/2021-SFE;28/06/2021;Ocorrências/Perturbações;Não se aplica;Não se aplica;CEMIG Geração e Transmissão S/A - CEMIG-Gt;6981176000158;48500004345202000;;28/06/2021; Multa;3836918,06;;;;;;;;;;0017/2021-SFE;23/07/2021; Multa do Grupo III Art. 6º;0001/2021-SFE;4,85E+16
01/10/2023;ANEEL;0008/2021-SFF;31/03/2021;Apoio ao Processo Decisório e Conformidade Regulatória;SFF-Geral;Não se aplica;Breitener Tambaqui S/A;7390807000127;48500000663202100;;12/04/2021; Advertência;0;;;;;;;;;;1055/2021-SFF;18/05/2021;;0053/2020-SFF;4,85E+16
01/10/2023;ANEEL;0008/2021-SFG;25/02/2021;1.01.01 - Procedimento da Fase Pré-Obras;Empreendimentos de Geração;Não informado;Ute Mc2 Nossa Senhora do Socorro S/A;10506738000189;48500004190201100;4,85E+16;29/03/2021; Multa;1377187,24;;;;;;;;;;;; Multa do Grupo III Art. 6º;0070/2020-SFG;4,85E+16
01/10/2023;ARPE;0008/2022-ARPE-SFG;05/09/2022;1.01.01 - Procedimento da Fase Pré-Obras;Empreendimentos de Geração;Não informado;Geradora de Energia Quinturaré Spe Ltda.;23417495000154;09/22-CEE-ARPE-D6;;05/09/2022; Multa;49587,08;16/09/2022;26/09/2022;Decisão anterior mantida;;49587,08;;;;;;; Multa do Grupo IV (REN 846/2019) Art. 12;0009/2022-ARPE-SFG;09/22-CEE-ARPE-D6
01/10/2023;ARSESP;0008/2022-ARSESP-SFG;20/12/2022;1.02.15 - Demais Obrigações Normativas;Empreendimentos de Geração;Não informado;Revati Geradora de Energia Elétrica Ltda.;10651227000150;ARSESPELE30522022;;02/01/2023; Multa;583232,44;06/01/2023;;;;;;;;;;; Multa do Grupo IV (REN 846/2019) Art. 12;0011/2022-ARSESP-SFG;ARSESPELE30522021
01/10/2023;ANEEL;0008/2022-SFE;15/05/2022;Ocorrências/Perturbações;Não se aplica;Não se aplica;Manaus Transmissora de Energia S/A - Manaus Tr;9584854000137;48500003616202000;;16/05/2022; Multa;2791969,39;;;;;;;;;;0025/2022-SFE;23/06/2022; Multa do Grupo III (REN 846/2019) Art. 11 / Multa do Grupo IV (REN 846/2019) Art. 12 / Multa do Grupo V (REN 846/2019) Art. 13;0021/2021-SFE;4,85E+16
01/10/2023;ANEEL;0008/2022-SFF;29/08/2022;Apoio ao Processo Decisório, Anuência e Conformidade Regulatória;Não se aplica;Não se aplica;Cia. Estadual de Geração de Energia Elétrica - Ceee-G - CEEE-G;39881421000104;48500006192202200;;30/08/2022; Multa;178216,59;06/09/2022;;;;;;;;;1081/2023-SFF;27/02/2023; Multa do Grupo IV (REN 846/2019) Art. 12;0020/2022-SFF;4,85E+16
01/10/2023;ANEEL;0008/2022-SFG;12/04/2022;1.02.02 - Procedimento Desempenho UTE Tipo I e II A; Monte Cristo-UTE; UTE.PE.RR.031982-1.01;Roraima Energia S/A - Boa Vista;2341470000144;48500003632202200;4,85E+16;13/04/2022; Multa;1232457;;;;;;;;;;1115/2022-SFG;29/04/2022; Multa do Grupo IV (REN 846/2019) Art. 12;0049/2021-SFG;4,85E+16
01/10/2023;ARPE;0008/2023-ARPE-SFT;09/06/2023;1.01.02 - Procedimento da Fase Obras; Belmonte 2-4-UFV; UFV.RS.PE.040738-0.01;Belmonte II Parque Solar S/A;30418547000172;011/23-ARPE-BE2-4;;13/06/2023; Multa;99592,99;22/06/2023;29/06/2023;Decisão anterior mantida;;99592,99;;;;;;; Multa do Grupo IV (REN 846/2019) Art. 12;0018/2023-ARPE-SFT;011/23-ARPE-BE2-4
01/10/2023;ANEEL;0008/2023-SFE;27/04/2023;Operação e Manutenção;Não se aplica;Não se aplica;FURNAS-Centrais Elétricas S/A - FURNAS;23274194000119;48500006462202200;;28/04/2023; Multa;16915068,58;11/05/2023;11/07/2023;Recurso acatado parcialmente;4,8532E+16;14228486,73;;;;;;; Multa do Grupo IV (REN 846/2019) Art. 12;0019/2022-SFE;4,85E+16
