DatGeracaoConjuntoDados;SigAgenteFiscalizador;NumAutoInfracao;DatLavraturaAutoInfracao;NomNaturezaFiscalizacao;DscObjetoFiscalizado;CodObjetoFiscalizado;NomAgenteFiscalizado;NumCPFCNPJAgenteFiscalizado;NumProcessoPunitivo;NumProcessoPunitivoANEEL;DatRecebimentoAutoInfracao;DscTipoPenalidade;VlrPenalidade;DtRecebimentoRecurso;DatDecisaoJuizo;DscDecisaoCompletaJuizo;DscAtoJuizo;VlrMultaAposJuizo;DatDecisaoDiretoria;DscDecisaoCompletaDiretoria;DscAtoDiretoria;VlrMultaAposDiretoria;NumTermoEncerramento;DatLavraturaTE;DscEnquadramentoAI;NumTermoNotificacao;NumProcessoFiscalizacao
01/10/2023;AGEPAN;0001/2019-AGEPAN-SFE;22/03/2019;Indicadores de Continuidade;Não se aplica;Não se aplica;ENERGISA Mato Grosso do Sul - Distribuidora de Energia S/A - EMS;15413826000150;51/200.695/2018;;25/03/2019; Multa;813956,38;04/04/2019;10/06/2019;Recurso acatado totalmente;;;;;;;0002/2019-AGEPAN-SFE;09/07/2019; Multa do Grupo III Art. 6º;0001/2019-AGEPAN-SFE;51/200.695/2018
01/10/2023;AGER/ MT;0001/2019-AGER/ MT-SFE;29/03/2019;Comercial;Não se aplica;Não se aplica;ENERGISA Mato Grosso - Distribuidora de Energia S/A - EMT;3467321000199;590675/2018;;03/04/2019; Advertência / Multa;1236140,25;15/04/2019;;;;;;;;;;; Advertência Art. 3º / Multa do Grupo I Art. 4º / Multa do Grupo II Art. 5º / Multa do Grupo III Art. 6º / Multa do Grupo IV Art. 7º;0001/2019-AGER/ MT-SFE;590675/2018
01/10/2023;AGER/ MT;0001/2019-AGER/ MT-SFG;31/01/2019;1.02.05 - Procedimento Segurança de Barragens; ARS-PCH; PCH.PH.MT.000161-9.01;Tecnovolt Centrais Elétricas S/A;4766180000178;599652/2018;;06/02/2019; Multa;73220,98;17/02/2019;;Decisão anterior mantida / Recurso acatado parcialmente;;73220,98;;Decisão anterior mantida / Recurso acatado parcialmente;48575.006414/2021;73220,98;0001/2022-AGER/ MT-SFG;14/01/2022; Multa do Grupo III Art. 6º;1007/2018-AGER/ MT-SFG;599652/2018
01/10/2023;AGERGS;0001/2019-AGERGS-SFE;29/03/2019;Indicadores de Continuidade;Não se aplica;Não se aplica;Cia. Estadual de Distribuição de Energia Elétrica - Ceee-D - CEEE-D;8467115000100;001127-39.00/18-3;;06/05/2019; Multa;1148082,21;16/05/2019;0209-11-18;Recurso acatado parcialmente;;263423,97;08/01/2020;Recurso acatado parcialmente;48500.001298/2020;1148082,21;0001/2021-AGERGS-SFE;23/08/2021; Multa do Grupo III Art. 6º;1003/2018-AGERGS-SFE;001127-39.00/18-3
01/10/2023;AGERGS;0001/2019-AGERGS-SFG;03/10/2019;1.02.05 - Procedimento Segurança de Barragens; Furnas do Segredo-PCH; PCH.PH.RS.001009-0.01;Jaguari Energética S/A;4324226000107;001063-39.00/19-0;;07/10/2019; Multa;16357,67;;;;;;;;;;0002/2020-AGERGS-SFG;28/09/2020; Multa do Grupo III Art. 6º;0013/2019-AGERGS-SFG;001087-39.00/07-0
01/10/2023;AGR;0001/2019-AGR-SFE;14/02/2019;Técnica;Não se aplica;Não se aplica;CELG Distribuição S/A - CELG-D;1543032000104;201800029004725;;21/02/2019; Multa;7915238,22;01/03/2019;;;;;09/03/2021;Recurso acatado parcialmente;48500.003139/2019;7664760,05;0002/2021-AGR-SFE;27/10/2021; Multa do Grupo I Art. 4º / Multa do Grupo III Art. 6º;1001/2018-AGR-SFE;2,018E+14
01/10/2023;AGR;0001/2019-AGR-SFG;08/02/2019;1.01.01 - Procedimento da Fase Pré-Obras; Verde 02 Baixo-PCH; PCH.PH.GO.031768-3.01;Verde 2 Energética Ltda.;12434432000190;201900029001041;;22/02/2019; Multa;102605,15;;;;;;;;;;0001/2019-AGR-SFG;27/08/2019; Multa do Grupo III Art. 6º;1004/2018-AGR-SFG;2,018E+14
01/10/2023;ARCE;0001/2019-ARCE-SFE;27/02/2019;Indicadores de reclamações - DER e FER;Não se aplica;Não se aplica;Cia. Energetica do Ceara - ENEL CE;7047251000170;PCEE/CEE/0001/19;;28/02/2019; Multa;959585,18;11/03/2019;22/03/2019;Recurso acatado parcialmente;;730693,29;;;;;0001/2021-ARCE-SFE;14/04/2021; Multa do Grupo III Art. 6º;1002/2018-ARCE-SFE;PCEE/CEE/0005/18
01/10/2023;ARPB;0001/2019-ARPB-SFE;02/01/2019;Teleatendimento;Não se aplica;Não se aplica;ENERGISA Paraíba - Distribuidora de Energia S/A - EPB;9095183000140;211/2018;;03/01/2019; Multa;1909072,92;14/01/2019;22/01/2019;Recurso acatado parcialmente;;1904284,28;;;;;;; Multa do Grupo III Art. 6º;1001/2018-ARPB-SFE;211/2018
01/10/2023;ARPE;0001/2019-ARPE-SFE;22/11/2019;Comercial;Não se aplica;Não se aplica;Cia. Energética de Pernambuco - CELPE;10835932000108;003/19-CEE-ARPE;;22/11/2019; Advertência / Multa;11557861,74;03/12/2019;23/12/2019;Recurso acatado parcialmente;;5889900,61;;;;;;; Advertência Art. 3º / Multa do Grupo I Art. 4º / Multa do Grupo III Art. 6º;0001/2019-ARPE-SFE;003/19-CEE-ARPE
01/10/2023;ARSESP;0001/2019-ARSESP-SFE;30/01/2019;Indicadores de reclamações - DER e FER;Não se aplica;Não se aplica;EDP São Paulo Distribuição de Energia S/A - EDP SP;2302100000106;3028-2018;;04/02/2019; Multa;1350256,68;13/02/2019;;;;;03/04/2019;Recurso acatado parcialmente;;1108477,33;;; Multa do Grupo III Art. 6º;1004/2018-ARSESP-SFE;3028-2018
01/10/2023;ARSESP;0001/2019-ARSESP-SFG;29/11/2019;1.02.05 - Procedimento Segurança de Barragens; Jorda Flor-PCH; PCH.PH.SP.001257-2.01;Alteso Geração e Comercialização de Energia Ltda.;22397150000113;ARSESPELE30242019;;29/11/2019; Multa;18690,19;;;;;;;;;;;; Multa do Grupo II Art. 5º / Multa do Grupo III Art. 6º;0029/2019-ARSESP-SFG;ARSESPELE30242019
01/10/2023;ANEEL;0001/2019-SFF;25/09/2019;Supervisão Econômica e Financeira;SFF-Geral;Não se aplica;ENERGISA Minas Gerais - Distribuidora de Energia S/A - EMG;19527639000158;48500002562201900;;26/09/2019; Advertência;0;;;;;;;;;;1019/2019-SFF;13/11/2019;;0002/2019-SFF;4,85E+16
01/10/2023;ANEEL;0001/2019-SFG;08/04/2019;1.02.05 - Procedimento Segurança de Barragens; Queimado-UHE; UHE.PH.MG.002176-8.01;Consórcio Cemig-CEB;2456313000184;48500001653201900;;25/04/2019; Multa;122977,13;03/05/2019;24/06/2019;Decisão anterior mantida;4,8532E+16;122977,13;;;;;1019/2019-SFG;16/09/2019; Multa do Grupo III Art. 6º;1041/2018-SFG;4,85E+16
01/10/2023;AGEPAN;0001/2020-AGEPAN-SFE;12/08/2020;Técnica;Não se aplica;Não se aplica;ENERGISA Mato Grosso do Sul - Distribuidora de Energia S/A - EMS;15413826000150;51/200.777/2019;;13/08/2020; Multa;3404434,29;24/08/2020;;;;;23/12/2020;Recurso acatado parcialmente;;1749500,95;;; Multa do Grupo III Art. 6º;0001/2020-AGEPAN-SFE;51/200.777/2019
01/10/2023;AGER/ MT;0001/2020-AGER/ MT-SFE;06/03/2020;Teleatendimento;Não se aplica;Não se aplica;ENERGISA Mato Grosso - Distribuidora de Energia S/A - EMT;3467321000199;39677/2020;;06/03/2020; Multa;169807,89;;;;;;;;;;0001/2020-AGER/ MT-SFE;07/04/2020; Multa do Grupo III Art. 6º;0001/2020-AGER/ MT-SFE;39677/2020
01/10/2023;AGER/ MT;0001/2020-AGER/ MT-SFG;28/07/2020;1.02.13 - Procedimento Ocorrências Graves e Indisponibilidade Prolongada;Empreendimentos de Geração;Não informado;Associação de Produtores Rurais do Vale do Cedro - APROVALE;24977746000118;632519/2019;;12/08/2020; Multa;9254,47;16/08/2020;;;;;03/03/2021;Decisão anterior mantida / Recurso acatado totalmente;48575.004722/2021;9254,47;0002/2022-AGER/ MT-SFG;14/01/2022; Multa do Grupo IV Art. 7º;0001/2020-AGER/ MT-SFG;632519/2019
01/10/2023;AGERGS;0001/2020-AGERGS-SFE;17/02/2020;Indicadores de Continuidade;Não se aplica;Não se aplica;Nova Palma Energia Ltda. - UHENPAL;89889604000144;000882-39.00/19-9;;20/02/2020; Advertência;0;;;;;;;;;;0001/2020-AGERGS-SFE;27/08/2020; Advertência Art. 3º;0002/2019-AGERGS-SFE;000882-39.00/19-9
01/10/2023;AGERGS;0001/2020-AGERGS-SFG;26/02/2020;1.02.05 - Procedimento Segurança de Barragens; Passo São João-UHE; UHE.PH.RS.029456-0.01;ELETROSUL Centrais Elétricas S/A - ELETROSUL;73957000168;000146-39.00/20-9;;28/02/2020; Multa;340461,58;11/03/2020;01/02/2021;Recurso acatado parcialmente;;0;;;;;0002/2021-AGERGS-SFG;01/02/2021; Multa do Grupo II Art. 5º / Multa do Grupo III Art. 6º;0017/2019-AGERGS-SFG;002628-39.00/14-1
01/10/2023;AGR;0001/2020-AGR-SFG;30/06/2020;1.02.13 - Procedimento Ocorrências Graves e Indisponibilidade Prolongada; Daia-UTE; UTE.PE.GO.028612-5.01;Usina Termelétrica de Anápolis Sociedade S/A - Ute-Anápolis;5250358000196;202000029000714;;06/07/2020; Multa;139215,9;16/07/2020;;;;;08/02/2021;Decisão anterior mantida;;139215,9;;; Multa do Grupo IV (REN 846/2019) Art. 12;0001/2020-AGR-SFG;2,02E+14
01/10/2023;ARCE;0001/2020-ARCE-SFE;06/05/2020;Comercial;Não se aplica;Não se aplica;Cia. Energética do Ceará - ENEL CE;7047251000170;PCEE/CEE/0007/20;;12/05/2020; Multa;284229,6;22/05/2020;;;;;24/06/2021;Decisão anterior mantida;PR/CEE/0009/2020 ;284229,6;0003/2021-ARCE-SFE;26/07/2021; Multa do Grupo II Art. 5º;0002/2019-ARCE-SFE;PCEE/CEE/0006/19
01/10/2023;ARCE;0001/2020-ARCE-SFG;27/04/2020;1.02.02 - Procedimento Desempenho UTE Tipo I e II A;Empreendimentos de Geração;Não informado;Enguia Gen CE Ltda.;4735629000130;PCEE/CEE/006/2020;;25/05/2020; Multa;1386246,21;03/06/2020;;;;;16/12/2020;Recurso acatado parcialmente;;347867,17;0002/2021-ARCE-SFG;10/05/2021; Multa do Grupo III Art. 6º;0002/2020-ARCE-SFG;PCEE/CEE/003/2020
01/10/2023;ARPE;0001/2020-ARPE-SFE;12/05/2020;Indicadores de Continuidade;Não se aplica;Não se aplica;Cia. Energética de Pernambuco - CELPE;10835932000108;002/2019-CEE-ARPE;;12/05/2020; Multa;7908880,41;22/05/2020;05/06/2020;Decisão anterior mantida;;7908880,41;;;;;;; Multa do Grupo III Art. 6º;0001/2020-ARPE-SFE;002/2019-CEE-ARPE
01/10/2023;ARSESP;0001/2020-ARSESP-SFE;27/02/2020;Técnica;Não se aplica;Não se aplica;ELETROPAULO Metropolitana Eletricidade de São Paulo S/A - ELETROPAULO;61695227000193;ARSESP-3003-2019;;05/03/2020; Multa;13512333,39;16/03/2020;;;;;;Recurso acatado parcialmente;;12716322,04;;; Multa do Grupo III Art. 6º / Multa do Grupo IV Art. 7º;0003/2019-ARSESP-SFE;ARSESP-3003-2019
01/10/2023;ARSESP;0001/2020-ARSESP-SFG;04/03/2020;1.02.05 - Procedimento Segurança de Barragens; Rasgão-UHE; UHE.PH.SP.002187-3.01;Empresa Metropolitana de Águas e Energia S/A - EMAE;2302101000142;ARSESPELE30132019;;12/03/2020; Multa;59612,43;04/05/2020;;Decisão anterior mantida;;59612,43;;;;;0002/2022-ARSESP-SFG;26/10/2022; Multa do Grupo III Art. 6º;0025/2019-ARSESP-SFG;ARSESPELE30132019
01/10/2023;ANEEL;0001/2020-SFE;02/01/2020;Operação e Manutenção;Não se aplica;Não se aplica;ELETROSUL Centrais Elétricas S/A - ELETROSUL;73957000168;48500001488201900;;02/01/2020; Multa;275154,34;13/01/2020;19/10/2020;Recurso acatado parcialmente;4,8534E+16;117239,68;22/11/2022;Recurso acatado parcialmente;4,8575E+16;117239,68;0034/2022-SFE;15/12/2022; Multa do Grupo III Art. 6º;0020/2019-SFE;4,85E+16
01/10/2023;ANEEL;0001/2020-SFF;13/02/2020;Apoio ao Processo Decisório e Conformidade Regulatória;Não se aplica;Não se aplica;Sistema de Transmissão Nordeste S/A - STN;5991437000158;48500004705201900;;02/03/2020; Advertência;0;;;;;;;;;;1022/2020-SFF;10/03/2020;;0011/2019-SFF;4,85E+16
01/10/2023;ANEEL;0001/2020-SFG;07/02/2020;1.02.05 - Procedimento Segurança de Barragens; Barra do Leão-PCH; PCH.PH.SC.032162-1.01;Três Leões Participações S/A;20121332000131;48500001062202000;4,85E+16;14/02/2020; Multa;15127,29;;;;;;;;;;;; Multa do Grupo III Art. 6º;0097/2019-SFG;4,85E+16
01/10/2023;AGEPAN;0001/2021-AGEPAN-SFG;04/03/2021;1.02.15 - Demais Obrigações Normativas; Eldorado-UTE; UTE.AI.MS.029193-5.01;Usina Eldorado S/A;5620523000154;51/200.563/2020;;06/04/2021; Advertência;0;;;;;;;;;;0001/2021-AGEPAN-SFG;17/06/2021;;0002/2020-AGEPAN-SFG;51/200.563/2020
01/10/2023;AGERGS;0001/2021-AGERGS-SFG;05/03/2021;1.02.15 - Demais Obrigações Normativas; REB Cassino I-EOL; EOL.CV.RS.030469-7.01;Eol Vento Energias Renováveis S/A;14095008000193;000512-39.00/21-3;;05/03/2021; Advertência;0;;;;;;;;;;0008/2021-AGERGS-SFG;04/08/2021;;0035/2020-AGERGS-SFG;000214-39.00/11-7
01/10/2023;AGR;0001/2021-AGR-SFG;31/03/2021;1.02.15 - Demais Obrigações Normativas; Porto das Águas-UTE; UTE.AI.GO.029999-5.01;Cerradinho Bioenergia S/A;8322396000103;202000029003480;;19/04/2021; Multa;39960,93;;;;;;;;;;;; Multa do Grupo III (REN 846/2019) Art. 11;0004/2020-AGR-SFG;2,02E+14
01/10/2023;ARCE;0001/2021-ARCE-SFE;17/03/2021;Comercial;Não se aplica;Não se aplica;Cia. Energética do Ceará - ENEL CE;7047251000170;02622171/2021;;17/03/2021; Multa;119393,8;;;;;;;;;;0002/2021-ARCE-SFE;04/05/2021; Multa do Grupo II Art. 5º;0002/2020-ARCE-SFE;PVIR/CEE/010/2020
01/10/2023;ARCE;0001/2021-ARCE-SFG;19/03/2021;1.02.15 - Demais Obrigações Normativas; Embuaca-EOL; EOL.CV.CE.030336-4.01;Embuaca Geração e Comercialização de Energia S/A;10288461000165;01553893/2021;;22/03/2021; Advertência;0;;;;;;;;;;0003/2021-ARCE-SFG;25/06/2021;;0003/2020-ARCE-SFG;PVIR/CEE/13/2020
01/10/2023;ARPE;0001/2021-ARPE-SFG;29/03/2021;1.02.15 - Demais Obrigações Normativas; Ventos de Santa Brígida I-EOL; EOL.CV.PE.031365-3.01;Ventos de Santa Brígida I Energias Renováveis S/A;17875304000103;011/20-CEE-ARPE;;05/04/2021; Multa;20797,23;14/06/2021;03/08/2021;Decisão anterior mantida;;20797,23;28/03/2022;Decisão anterior mantida;;20797,23;0002/2022-ARPE-SFG;02/06/2022; Multa do Grupo III (REN 846/2019) Art. 11;0001/2020-ARPE-SFG;011/20-CEE-ARPE
01/10/2023;ARSEP;0001/2021-ARSEP-SFG;29/03/2021;1.02.15 - Demais Obrigações Normativas; Dreen Olho D Água-EOL; EOL.CV.RN.030549-9.01;Ge Olho D'água S/A;12723444000134;32021;;22/04/2021; Advertência;0;;;;;;;;;;0001/2021-ARSEP-SFG;21/10/2021;;0008/2021-ARSEP-SFG;7,81001E+16
01/10/2023;ARSESP;0001/2021-ARSESP-SFE;30/08/2021;Técnica;Não se aplica;Não se aplica;ELETROPAULO Metropolitana Eletricidade de São Paulo S/A - ELETROPAULO;61695227000193;ARSESP-3009-2021;;01/09/2021; Multa;16245909,83;;;;;;;;;;0001/2022-ARSESP-SFE;07/01/2022; Multa do Grupo IV (REN 846/2019) Art. 12;0001/2021-ARSESP-SFE;ARSESP-300-2021
01/10/2023;ANEEL;0001/2021-SFE;10/02/2021;Ocorrências/Perturbações;Não se aplica;Não se aplica;Linhas de Macapá Transmissora de Energia S/A - MACAPÁ;10234027000100;48500005799202000;;10/02/2021; Multa;3671745,75;22/02/2021;18/04/2021;Decisão anterior mantida;4,8534E+16;3671745,75;;;;;;; Multa do Grupo I (REN 846/2019) Art. 9º  / Multa do Grupo II (REN 846/2019) Art. 10 / Multa do Grupo III (REN 846/2019) Art. 11 / Multa do Grupo IV (REN 846/2019) Art. 12 / Multa do Grupo V (REN 846/2019) Art. 13;0024/2020-SFE;4,85E+16
01/10/2023;ANEEL;0001/2021-SFF;04/01/2021;Apoio ao Processo Decisório e Conformidade Regulatória;SFF-Geral;Não se aplica;Cooperativa de Distribuição de Energia Elétrica de Anitápolis - CERAL - CERAL;75826404000138;48500004499202000;;05/01/2021; Multa;91619,17;;;;;;;;;;1061/2021-SFF;18/06/2021; Multa do Grupo III Art. 6º;0051/2020-SFF;4,85E+16
01/10/2023;ANEEL;0001/2021-SFG;13/01/2021;1.02.15 - Demais Obrigações Normativas; Sykué I-UTE; UTE.AI.BA.029634-1.01;Sykué Geração de Energia Ltda.;7777342000161;48500006288202000;;03/03/2021; Multa;140081,38;04/03/2021;;Recurso acatado parcialmente;4,8532E+16;113425,69;;Recurso acatado parcialmente;4,8575E+16;113425,69;1088/2021-SFG;03/12/2021; Multa do Grupo III (REN 846/2019) Art. 11;0043/2020-SFG;4,85E+16
01/10/2023;AGER/ MT;0001/2022-AGER/ MT-SFE;17/08/2022;Indicadores de reclamações - DER e FER;Não se aplica;Não se aplica;ENERGISA Mato Grosso - Distribuidora de Energia S/A - EMT;3467321000199;AGER-PRO-2021/016;;23/08/2022; Advertência / Multa;10349703,24;;;;;;;;;;0001/2022-AGER/ MT-SFE;15/09/2022; Multa do Grupo I (REN 846/2019) Art. 9º  / Multa do Grupo III (REN 846/2019) Art. 11;0001/2022-AGER/ MT-SFE;AGER-PRO-2021/016
01/10/2023;AGER/ MT;0001/2022-AGER/ MT-SFG;08/11/2022;1.02.05 - Procedimento Segurança de Barragens; São Domingos (Torixoréo)-PCH; PCH.PH.MT.002862-2.01;Primavera Energia S/A;7283830000112;AGERPRO2022/00375;;10/11/2022; Multa;30165,97;18/11/2022;;;;;;;;;;; Multa do Grupo IV (REN 846/2019) Art. 12;0001/2022-AGER/ MT-SFG;AGERPRO2022/00375
01/10/2023;AGERGS;0001/2022-AGERGS-SFE;06/04/2022;Qualidade de Atendimento ao Consumidor;Não se aplica;Não se aplica;Cia. Estadual de Distribuição de Energia Elétrica - Ceee-D - CEEE-D;8467115000100;000294-39.00/22-7;;07/04/2022; Multa;3452604,33;18/04/2022;29/11/2022;Decisão anterior mantida;;3452604,33;26/10/2022;Decisão anterior mantida;;3452604,33;;; Multa do Grupo I (REN 846/2019) Art. 9º ;0001/2022-AGERGS-SFE;000294-39.00/22-7
01/10/2023;AGERGS;0001/2022-AGERGS-SFG;25/01/2022;1.02.05 - Procedimento Segurança de Barragens; Guarita-PCH; PCH.PH.RS.001076-6.01;Cia. Estadual de Geração de Energia Elétrica - Ceee-G - CEEE-G;39881421000104;001307-39.00/21-6;;25/01/2022; Multa;14635,71;;;;;;;;;;0010/2022-AGERGS-SFG;03/03/2022; Multa do Grupo III (REN 846/2019) Art. 11 / Multa do Grupo IV (REN 846/2019) Art. 12;0009/2021-AGERGS-SFG;000473-39.00/08-1
01/10/2023;AGR;0001/2022-AGR-SFE;11/02/2022;Técnica;Não se aplica;Não se aplica;CELG DISTRIBUIÇÃO S.A. - CELG D - CELG-D;1543032000104;202100029004425;;14/02/2022; Multa;27314902,36;;;;;;;;;;;; Multa do Grupo IV (REN 846/2019) Art. 12 / Multa do Grupo V (REN 846/2019) Art. 13;0001/2021-AGR-SFE;2,021E+14
01/10/2023;ARCE;0001/2022-ARCE-SFG;24/06/2022;1.02.04 - Procedimento Desempenho de Eólicas; São Cristovão-EOL; EOL.CV.CE.030912-5.01;Central Eólica São Cristóvão S/A;10272500000136;06238874/2022;;27/06/2022; Multa;102511,72;06/07/2022;;;;;;;;;;; Multa do Grupo IV (REN 846/2019) Art. 12;0002/2022-ARCE-SFG;1623460/2022
01/10/2023;ARPE;0001/2022-ARPE-SFG;01/09/2022;1.01.02 - Procedimento da Fase Obras; Ciranda 1-UFV; UFV.RS.PE.037465-2.01;Ciranda 1 Energias Renováveis S/A;35912298000190;001/22-CEE-ARPE;;02/09/2022; Multa;61364,01;14/09/2022;;;;;14/04/2023;Decisão anterior mantida;4,8513E+14;61364,01;0001/2023-ARPE-SFG;27/04/2023; Multa do Grupo IV (REN 846/2019) Art. 12;0001/2022-ARPE-SFG;001/22-CEE-ARPE
01/10/2023;ARSEP;0001/2022-ARSEP-SFG;20/01/2022;1.02.02 - Procedimento Desempenho UTE Tipo I e II A; Vale do Açú (Antiga Jesus Soares Pereira)-UTE; UTE.GN.RN.028225-1.01;Petróleo Brasileiro S a PETROBRÁS - PETROBRÁS;33000167000101;78100080000302000;;24/01/2022; Multa;2050948,26;;;;;;;;;;0001/2022-ARSEP-SFG;18/03/2022; Multa do Grupo IV (REN 846/2019) Art. 12;0036/2021-ARSEP-SFG;7,81001E+16
01/10/2023;ARSESP;0001/2022-ARSESP-SFG;07/04/2022;1.02.05 - Procedimento Segurança de Barragens; São Pedro-PCH; PCH.PH.SP.027096-2.01;Eletricidade São Pedro Ltda.;5992709000134;ARSESP30172020;;12/04/2022; Multa;3966,96;;;;;;;;;;0001/2022-ARSESP-SFG;26/10/2022; Multa do Grupo IV (REN 846/2019) Art. 12;0008/2020-ARSESP-SFG;ARSESPELE30172020
01/10/2023;ANEEL;0001/2022-SFE;05/01/2022;Indicadores de Continuidade;Não se aplica;Não se aplica;ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A. - EMG;19527639000158;48500003605202100;;05/01/2022; Multa;2456218,64;17/01/2022;22/02/2022;Decisão anterior mantida;4,8534E+16;2456218,64;28/03/2022;Decisão anterior mantida;4,8575E+16;2456218,64;;; Multa do Grupo IV (REN 846/2019) Art. 12;0013/2021-SFE;4,85E+16
01/10/2023;ANEEL;0001/2022-SFF;11/02/2022;Apoio ao Processo Decisório e Conformidade Regulatória;SFF-Geral;Não se aplica;Quanta Geração S/A - Quanta Ger;7642982000164;48500000683202100;4,85E+16;14/02/2022; Advertência;0;;;;;;;;;;1073/2022-SFF;20/06/2022;;0056/2020-SFF;4,85E+16
01/10/2023;ANEEL;0001/2022-SFG;03/02/2022;1.02.15 - Demais Obrigações Normativas; Furnas-UHE; UHE.PH.MG.001007-3.01;FURNAS-Centrais Elétricas S/A - FURNAS;23274194000119;48500000392202200;4,85E+16;07/02/2022; Multa;374773,53;;;;;;;;;;1107/2022-SFG;04/03/2022; Multa do Grupo II (REN 846/2019) Art. 10;0027/2021-SFG;4,85E+16
01/10/2023;AGER/ MT;0001/2023-AGER/ MT-SFG;31/01/2023;1.02.15 - Demais Obrigações Normativas; Faxinal II-PCH; PCH.PH.MT.028780-6.01;Centrais Elétricas Salto dos Dardanelos S/A - DARDANELOS;3790841000138;AGERPRO202202231;;02/02/2023; Multa;39526,98;;;;;;;;;;0001/2023-AGER/ MT-SFG;15/02/2023; Multa do Grupo II (REN 846/2019) Art. 10 / Multa do Grupo IV (REN 846/2019) Art. 12;0002/2022-AGER/ MT-SFG;AGER-PRO-2022/022
01/10/2023;AGERGS;0001/2023-AGERGS-SFE;30/01/2023;Comercial;Não se aplica;Não se aplica;Cooperativa de Distribuição de Energia Fontoura Xavier - CERFOX;97505838000179;000382-39.00/22-8;;03/02/2023; Multa;116357,84;08/02/2023;;;;;;;;;;; Multa do Grupo V (REN 846/2019) Art. 13;0004/2022-AGERGS-SFE;000382-39.00/22-8
01/10/2023;ARCE;0001/2023-ARCE-SFE;31/03/2023;Comercial;Não se aplica;Não se aplica;COMPANHIA ENERGÉTICA DO CEARÁ - ENEL CE;7047251000170;03435751/2023;;31/03/2023; Multa;23347965,06;;;;;;;;;;0001/2023-ARCE-SFT;05/05/2023; Multa do Grupo IV (REN 846/2019) Art. 12;0001/2023-ARCE-SFE;11262869/2022
01/10/2023;ARPE;0001/2023-ARPE-SFT;09/06/2023;1.01.02 - Procedimento da Fase Obras; Belmonte 1-2-UFV; UFV.RS.PE.040726-7.01;Belmonte I Parque Solar S/A;30418521000124;005/23-ARPE-BE1-2;;13/06/2023; Multa;99592,99;22/06/2023;29/06/2023;Decisão anterior mantida;;99592,99;;;;;;; Multa do Grupo IV (REN 846/2019) Art. 12;0012/2023-ARPE-SFT;005/23-ARPE-BE1-2
01/10/2023;ARSESP;0001/2023-ARSESP-SFE;17/03/2023;Verificação de Cumprimento de Determinação;Não se aplica;Não se aplica;ELETROPAULO Metropolitana Eletricidade de São Paulo S/A - ELETROPAULO;61695227000193;ARSESP-3039-2022;;21/03/2023; Advertência;0;23/03/2023;;;;;;;;;0001/2023-ARSESP-SFE;24/04/2023;;0002/2022-ARSESP-SFE;4,85E+16
01/10/2023;ANEEL;0001/2023-SFE;27/01/2023;Operação e Manutenção;Não se aplica;Não se aplica;FURNAS-Centrais Elétricas S/A - FURNAS;23274194000119;48500006134202100;;31/01/2023; Multa;20415323,62;10/02/2023;10/03/2023;Recurso acatado parcialmente;4,8513E+16;15441058,99;;;;;;; Multa do Grupo II (REN 846/2019) Art. 10 / Multa do Grupo IV (REN 846/2019) Art. 12;0014/2022-SFE;4,85E+16
01/10/2023;ANEEL;0001/2023-SFF;31/01/2023;Apoio ao Processo Decisório, Anuência e Conformidade Regulatória;Não se aplica;Não se aplica;Cooperativa de Distribuição de Energia Elétrica de Anitápolis - CERAL - CERAL Anitápolis;75826404000138;48500007552202200;;11/02/2023; Multa;136166,5;;;;;;;;;;;; Multa do Grupo III (REN 846/2019) Art. 11;0022/2022-SFF;4,85E+16
01/10/2023;AGER/ MT;0002/2019-AGER/ MT-SFE;22/08/2019;Indicadores de reclamações - DER e FER;Não se aplica;Não se aplica;ENERGISA Mato Grosso - Distribuidora de Energia S/A - EMT;3467321000199;90408/2019;;23/08/2019; Multa;2255848,89;04/09/2019;03/10/2019;Decisão anterior mantida / Recurso acatado parcialmente;APR AI 0002/2019 ;2255848,89;22/01/2021;Decisão anterior mantida / Recurso acatado parcialmente;48575.000087/2021;2255848,89;0001/2021-AGER/ MT-SFE;24/08/2021; Multa do Grupo III Art. 6º;0002/2019-AGER/ MT-SFE;90408/2019
01/10/2023;AGER/ MT;0002/2019-AGER/ MT-SFG;28/02/2019;1.02.05 - Procedimento Segurança de Barragens; Baruíto-PCH; PCH.PH.MT.000233-0.02;GLOBAL Energia Elétrica S/A - GLOBAL;36948016000178;599741/2018;;06/03/2019; Multa;388253,88;18/03/2020;;;;;;;;;;; Multa do Grupo III Art. 6º;1008/2018-AGER/ MT-SFG;599741/2018
01/10/2023;AGERGS;0002/2019-AGERGS-SFE;29/03/2019;Indicadores de Continuidade;Não se aplica;Não se aplica;Departamento Municipal de Energia de Ijuí - DEMEI;95289500000100;001210-39.00/18-0;;09/04/2019; Multa;114,8;;;;;;;;;;0001/2019-AGERGS-SFE;28/05/2019; Multa do Grupo III Art. 6º;1004/2018-AGERGS-SFE;12103900180
01/10/2023;AGR;0002/2019-AGR-SFE;21/03/2019;Acesso ao Sistema de Distribuição;Não se aplica;Não se aplica;CELG Distribuição S/A - CELG-D;1543032000104;201800029007730;;25/03/2019; Multa;5553907,12;04/04/2019;;Decisão anterior mantida;;5553907,12;;;;;;; Multa do Grupo IV Art. 7º;0001/2019-AGR-SFE;2,018E+14
