Cep Inicial|Cep Final|Bairro|Cidade|Estado
04327055|04334150|Vila Fachini|São Paulo|SP
04339020|04339130|Americanópolis|São Paulo|SP
04378000|04378000|Vila Mascote|São Paulo|SP
04384120|04384120|Jardim Jabaquara|São Paulo|SP
04412070|04412070|Americanópolis|São Paulo|SP
04417070|04417070|Jardim Miriam|São Paulo|SP
04431091|04431091|Jardim Selma|São Paulo|SP
04433150|04433150|Jardim Itapura|São Paulo|SP
04437060|04437060|Jardim Consórcio|São Paulo|SP
04455340|04455410|Vila Campo Grande|São Paulo|SP
04459320|04459320|Pedreira|São Paulo|SP
04468000|04468000|Jardim da Pedreira|São Paulo|SP
04531907|04538132|Itaim Bibi|São Paulo|SP
04564050|04566060|Cidade Monções|São Paulo|SP
04640010|04640010|Jardim Petrópolis|São Paulo|SP
04650180|04650180|Vila São Paulo|São Paulo|SP
04671330|04671330|Parque Residencial Julia|São Paulo|SP
04696000|04696020|Jurubatuba|São Paulo|SP
04705090|04705090|Vila Gertrudes|São Paulo|SP
04710000|04710000|Santo Amaro|São Paulo|SP
04730080|04730080|Várzea de Baixo|São Paulo|SP
04736010|04736010|Santo Amaro|São Paulo|SP
04770200|04770200|Jardim Guarapiranga|São Paulo|SP
04795913|04795913|Vila Almeida|São Paulo|SP
04822270|04822270|Parque América|São Paulo|SP
04832160|04832160|Parque Santa Cecília|São Paulo|SP
04840350|04840350|Conjunto Habitacional Brigadeiro Faria Lima|São Paulo|SP
04844390|04844565|Jardim São Bernardo|São Paulo|SP
04845190|04845190|Jardim Reimberg|São Paulo|SP
04848130|04848130|Jardim Progresso|São Paulo|SP
04851430|04851430|Parque Residencial dos Lagos|São Paulo|SP
04852503|04852503|Jardim Novo Jaú|São Paulo|SP
04856020|04856020|Jardim Tanay|São Paulo|SP
04858230|04858230|Jardim São Judas Tadeu|São Paulo|SP
04865090|04865090|Jardim Iporã|São Paulo|SP
04866175|04866175|Jardim Almeida|São Paulo|SP
04895041|04895041|Vila Isabel (Parelheiros)|São Paulo|SP
04930170|04930170|Jardim Santa Margarida|São Paulo|SP
04962130|04962130|Vila do Sol|São Paulo|SP
05061906|05061906|Vila Romana|São Paulo|SP
05065902|05065902|Lapa de Baixo|São Paulo|SP
05089050|05089050|Vila Leopoldina|São Paulo|SP
05119090|05119090|City América|São Paulo|SP
05125001|05125001|Parque São Domingos|São Paulo|SP
05136230|05136230|Jardim Santo Elias|São Paulo|SP
05145901|05145901|Jardim Íris|São Paulo|SP
05159360|05159360|Jardim Maristela|São Paulo|SP
05180020|05181490|Jaraguá|São Paulo|SP
05183180|05183180|Jardim Santa Lucrécia|São Paulo|SP
05183270|05184000|Vila Chica Luisa|São Paulo|SP
05223060|05223060|Jardim Adelfiore|São Paulo|SP
05268190|05268190|Conjunto Residencial Jardim Canaã|São Paulo|SP
05273010|05273010|Vila dos Palmares|São Paulo|SP
05315000|05315000|Vila Leopoldina|São Paulo|SP
05327020|05327020|Parque Continental|São Paulo|SP
05328105|05328105|Jaguaré|São Paulo|SP
05376180|05376180|Vila Antônio|São Paulo|SP
05388060|05388060|Jardim Rio Pequeno|São Paulo|SP
05388150|05388150|Vila Dalva|São Paulo|SP
05422080|05422080|Pinheiros|São Paulo|SP
05435050|05435050|Sumarezinho|São Paulo|SP
05447190|05447190|Vila Beatriz|São Paulo|SP
05451010|05451010|Vila Madalena|São Paulo|SP
05463040|05463040|Alto de Pinheiros|São Paulo|SP
05515030|05515030|Caxingui|São Paulo|SP
05520300|05520300|Vila Sônia|São Paulo|SP
05528350|05528380|Jardim Dracena|São Paulo|SP
05546140|05546140|Jardim Maria Augusta|São Paulo|SP
05574280|05574410|Conjunto Promorar Raposo Tavares|São Paulo|SP
05583120|05583120|Jardim Boa Vista (Zona Oeste)|São Paulo|SP
05586000|05586000|Vila Indiana|São Paulo|SP
05588000|05588000|Jardim Esmeralda|São Paulo|SP
05593020|05593020|Jardim Bonfiglioli|São Paulo|SP
05657225|05657225|Jardim Vitória Régia|São Paulo|SP
05711160|05711160|Jardim Taboão|São Paulo|SP
05716130|05716130|Vila Andrade|São Paulo|SP
05750070|05750070|Super Quadra Morumbi|São Paulo|SP
05762260|05762260|Parque Ipê|São Paulo|SP
05763380|05763380|Jardim Piracuama|São Paulo|SP
05805030|05805030|Jardim São Luís|São Paulo|SP
05820110|05820110|Jardim Novo Santo Amaro|São Paulo|SP
05821110|05821110|Parque Santo Antônio|São Paulo|SP
05831010|05831010|Chácara Santana|São Paulo|SP
05833030|05833030|Jardim Thomaz|São Paulo|SP
05857550|05857550|Parque Ligia|São Paulo|SP
