Cep Inicial|Cep Final|Bairro|Cidade|Estado
14031383|14031383|Parque Ribeirão Preto|Ribeirão Preto|SP
14031842|14031843|Jardim Progresso|Ribeirão Preto|SP
14040299|14040299|Jardim Recreio|Ribeirão Preto|SP
14056711|14056711|Jardim Doutor Paulo Gomes Romeo|Ribeirão Preto|SP
14060406|14060406|Jardim Jandaia|Ribeirão Preto|SP
14065270|14065270|Jardim José Sampaio Júnior|Ribeirão Preto|SP
14070732|14070732|Parque dos Sabiás|Ribeirão Preto|SP
14071570|14071570|Adelino Simioni|Ribeirão Preto|SP
14075070|14075070|Vila Carvalho|Ribeirão Preto|SP
14075220|14075220|Vila Mariana|Ribeirão Preto|SP
14076120|14076430|Independência|Ribeirão Preto|SP
14079100|14079100|Jardim Professor Antônio Palocci|Ribeirão Preto|SP
14079624|14079624|Jardim Porto Seguro|Ribeirão Preto|SP
14080000|14080000|Campos Elíseos|Ribeirão Preto|SP
14092160|14092160|Jardim Novo Mundo|Ribeirão Preto|SP
14095050|14095050|Parque Industrial Lagoinha|Ribeirão Preto|SP
14098834|14098834|Jardim Cybelli|Ribeirão Preto|SP
14161187|14161187|Jardim Primeiro de Maio|Sertãozinho|SP
14164110|14164110|Jardim Jamaica|Sertãozinho|SP
14164160|14164160|Jardim Nassim Mamed|Sertãozinho|SP
14165458|14165458|Jardim Santa Rosa|Sertãozinho|SP
14169218|14169218|Jardim São Sebastião|Sertãozinho|SP
14170339|14170339|São João|Sertãozinho|SP
14171115|14171115|Jardim Recreio dos Bandeirantes|Sertãozinho|SP
14177015|14177015|Vila Industrial|Sertãozinho|SP
14177159|14177159|Parque Residencial Francisco Paschoal|Sertãozinho|SP
14401253|14401253|Vila Aparecida|Franca|SP
14401306|14401306|Parque das Águas|Franca|SP
14401408|14401408|Jardim Paulista|Franca|SP
14402465|14402465|Jardim Paulistano|Franca|SP
14403204|14403204|Parque do Castelo|Franca|SP
14403662|14403662|Prolongamento Jardim Ângela Rosa|Franca|SP
14404004|14404004|Parque Mundo Novo|Franca|SP
14404226|14404226|Jardim Aeroporto III|Franca|SP
14405631|14405631|Parque dos Pinhais|Franca|SP
14406156|14406156|Parque das Esmeraldas|Franca|SP
14406804|14406814|Residencial Peres Elias|Franca|SP
14407272|14407272|Residencial Meireles|Franca|SP
14407513|14407513|Residencial Moreira Júnior|Franca|SP
14407522|14407522|Jardim Luiza|Franca|SP
14407629|14407643|Jardim Luiza II|Franca|SP
14408112|14408112|Villagio Mundo Novo|Franca|SP
14409091|14409091|Jardim Planalto|Franca|SP
14409175|14409175|Parque Moema|Franca|SP
14409194|14409194|Prolongamento Jardim Doutor Antônio Petráglia|Franca|SP
14409361|14409361|Parque do Horto|Franca|SP
14409400|14409400|Recreio Campo Belo|Franca|SP
14412310|14412310|Franca Pólo Club|Franca|SP
14700409|14700409|Centro|Bebedouro|SP
14701638|14701638|Jardim Casagrande|Bebedouro|SP
14702226|14702226|Jardim São Carlos|Bebedouro|SP
14708078|14708078|Jardim Menino Deus I|Bebedouro|SP
14708274|14708274|Residencial Vale do Sol|Bebedouro|SP
14710152|14710152|Jardim Itália|Bebedouro|SP
14781145|14781145|Distrito Industrial II|Barretos|SP
14781468|14781468|Cristiano de Carvalho|Barretos|SP
14783000|14783000|Jardim Silvia|Barretos|SP
14784064|14784064|City Barretos|Barretos|SP
14784094|14784094|Jardim Nova Barretos|Barretos|SP
14784339|14784339|Jardim Soares|Barretos|SP
14800556|14800556|Jardim Santa Lúcia|Araraquara|SP
14801165|14801165|Vila Santana|Araraquara|SP
14802030|14802030|Vila Yamada|Araraquara|SP
14803843|14803843|Condomínio Bella Vittà II|Araraquara|SP
14805356|14805356|Chácara Flora Araraquara|Araraquara|SP
14805423|14805423|Residencial Cambuy|Araraquara|SP
14806287|14806332|Jardim Roberto Selmi Dei|Araraquara|SP
14807045|14807045|Vila Melhado|Araraquara|SP
14807083|14807083|Jardim Panorama|Araraquara|SP
14807127|14807127|Jardim Guanabara|Araraquara|SP
14807214|14807214|Jardim Padre Anchieta|Araraquara|SP
14807258|14807258|Jardim Eliana|Araraquara|SP
14807341|14807341|Jardim Residencial Água Branca|Araraquara|SP
14875456|14875456|Conjunto Habitacional Hugo Lacorte Vitalle II|Jaboticabal|SP
15015500|15015500|Centro|São José do Rio Preto|SP
15020060|15020060|Santos Dumont|São José do Rio Preto|SP
15025180|15025180|Vila Nossa Senhora da Paz|São José do Rio Preto|SP
15040285|15040285|Jardim Residencial Vetorasso|São José do Rio Preto|SP
15041516|15041516|Jardim Bianco|São José do Rio Preto|SP
15044651|15044651|Residencial Floresta Park (Zona Rural)|São José do Rio Preto|SP
15045215|15045215|Jardim Paraíso|São José do Rio Preto|SP
15045360|15045360|Jardim Itapema|São José do Rio Preto|SP
15045512|15045512|Residencial Ana Célia|São José do Rio Preto|SP
15046080|15046080|Parque Residencial Dom Lafaiete Libânio|São José do Rio Preto|SP
15051679|15051679|Estância Santa Clara (Zona Rural)|São José do Rio Preto|SP
15052872|15052872|Estância San Carlos (Zona Rural)|São José do Rio Preto|SP
15054040|15054040|Jardim Nazareth|São José do Rio Preto|SP
15054632|15054632|Loteamento Parque Residencial da Lealdade|São José do Rio Preto|SP
15060170|15060170|Jardim Paulista|São José do Rio Preto|SP
15062002|15062002|Chácara Jockey Club (Zona Rural)|São José do Rio Preto|SP
15063123|15063123|Parque Residencial Damha VI|São José do Rio Preto|SP
15076493|15076493|Parque Residencial Lauriano Tebar II|São José do Rio Preto|SP
15080190|15080190|Jardim Santa Catarina|São José do Rio Preto|SP
15087281|15087281|Estância Santa Apolônia (Zona Rural)|São José do Rio Preto|SP
15090290|15090290|Jardim Francisco Fernandes|São José do Rio Preto|SP
15092226|15092226|Estância Matinha (Zona Rural)|São José do Rio Preto|SP
15093683|15093683|Loteamento San Fernando Valley|São José do Rio Preto|SP
15503114|15503114|Propovo|Votuporanga|SP
15503286|15503286|Votuporanga I|Votuporanga|SP
15506072|15506072|Conjunto Habitacional Sonho Meu|Votuporanga|SP
15700214|15700214|Jardim Samambaia|Jales|SP
15700274|15700284|Jardim Estados Unidos|Jales|SP
15703360|15703362|Parque Industrial I|Jales|SP
15704248|15704248|Jardim Brasil|Jales|SP
15704268|15704268|Vila Talma|Jales|SP
15706002|15706002|Jardim Pires de Andrade|Jales|SP
15706050|15706050|Vila Stafusa|Jales|SP
15707666|15707702|Conjunto Habitacional José Antonio Caparroz Bogaz|Jales|SP
15708076|15708076|Residencial Alpha Jales|Jales|SP
15802004|15802004|Parque Residencial Agudo Romão|Catanduva|SP
15802305|15802305|Parque Residencial Agudo Romão II|Catanduva|SP
15804380|15804380|Jardim Pedro Borgoni|Catanduva|SP
15808325|15808325|Distrito Industrial Antônio Zácaro|Catanduva|SP
15810376|15810376|Conjunto Habitacional Prefeito João Righini|Catanduva|SP
15810455|15810455|Loteamento Cidade Jardim|Catanduva|SP
15990280|15990280|Jardim Ballista|Matão|SP
15990460|15990460|Jardim Buscardi|Matão|SP
15990568|15990660|Nova Matão|Matão|SP
15997080|15997080|Alto|Matão|SP
16018080|16018287|Jardim Nova Yorque|Araçatuba|SP
16022190|16022190|Morada dos Nobres|Araçatuba|SP
16022440|16022440|Conjunto Habitacional Clóvis Valentin Picolotto|Araçatuba|SP
16022731|16022731|Jardim Moreira|Araçatuba|SP
16025050|16025050|São João|Araçatuba|SP
16025180|16025180|Bairro das Bandeiras|Araçatuba|SP
16050070|16050070|São Vicente|Araçatuba|SP
16050683|16050685|Dona Amélia|Araçatuba|SP
16058500|16058500|Chácaras Versalhes|Araçatuba|SP
16070272|16070272|Conjunto Habitacional Ezequiel Barbosa|Araçatuba|SP
16075185|16075185|Primavera|Araçatuba|SP
16075475|16075475|Chácaras TV|Araçatuba|SP
16201105|16201105|Jardim São Conrado|Birigüi|SP
16201198|16201198|Recanto Verde|Birigüi|SP
16201491|16201491|Residencial San Marino|Birigüi|SP
16202345|16202355|João Crevelaro|Birigüi|SP
16202448|16202448|Jardim São Genaro|Birigüi|SP
16203022|16203022|Vila Guanabara|Birigüi|SP
16204009|16204009|Jardim Jussara Maria|Birigüi|SP
16207038|16207038|Alto Colinas|Birigüi|SP
16300971|16300971|Jardim São Luiz|Penápolis|SP
16400103|16400103|Centro|Lins|SP
16400363|16400363|Parque Xingu|Lins|SP
16400460|16400460|Jardim Ariano|Lins|SP
16400513|16400513|Vila Alta|Lins|SP
16401036|16401036|Vila São José|Lins|SP
16401052|16401052|Vila Paulista|Lins|SP
16401140|16401140|Jardim Linense|Lins|SP
16401379|16401379|Jardim Aeroporto|Lins|SP
16402712|16402712|Residencial Jardim do Sol|Lins|SP
16403107|16403107|Vila Ester|Lins|SP
16880970|16880970|Centro|Valparaíso|SP
16900447|16900447|Vila Feltrini|Andradina|SP
16902211|16902211|Jardim Bela Vista|Andradina|SP
17012050|17012050|Vila Santa Tereza|Bauru|SP
17015130|17015130|Centro|Bauru|SP
17021180|17021180|Parque Residencial Castelo|Bauru|SP
17022124|17022124|Vila São Paulo|Bauru|SP
17022440|17022440|Núcleo Residencial Edison Bastos Gasparini|Bauru|SP
17024240|17024240|Novo Jardim Pagani|Bauru|SP
17024843|17024843|Residencial Nova Flórida|Bauru|SP
17025162|17025162|Parque Residencial Jardim Araruna|Bauru|SP
17025400|17025400|Vila Nova Santa Luzia|Bauru|SP
17026000|17026000|Núcleo Habitacional Mary Dota|Bauru|SP
17031451|17031451|Parque Júlio Nóbrega|Bauru|SP
17031707|17031707|Núcleo Habitacional José Regino|Bauru|SP
17035070|17035070|Tangarás|Bauru|SP
17036043|17036043|Vale do Igapó|Bauru|SP
17048180|17048180|Jardim Mary|Bauru|SP
17048795|17048795|Residencial Village Campo Novo|Bauru|SP
17052021|17052021|Parque Fortaleza|Bauru|SP
17055519|17055519|Vila Industrial|Bauru|SP
17055802|17055802|Quinta Ranieri|Bauru|SP
17056265|17056265|Monte Verde|Bauru|SP
17057651|17057656|Parque Santa Cândida|Bauru|SP
17063430|17063430|Vila Santa Rosa|Bauru|SP
17204550|17204550|Jardim Odete|Jaú|SP
17205070|17205080|Vila Sampaio Bueno|Jaú|SP
17208433|17208433|Jardim Ana Carolina|Jaú|SP
17210710|17210710|Jardim América|Jaú|SP
17211380|17211380|Jardim das Paineiras|Jaú|SP
17212541|17212541|Jardim Pedro Ometto|Jaú|SP
17213590|17213590|Jardim Nova Jaú|Jaú|SP
17215079|17215079|Jardim Dona Emília|Jaú|SP
17220200|17220200|Jardim Esperança (Potunduva)|Jaú|SP
17502410|17502410|Jardim Marília|Marília|SP
17505610|17505610|Vila Operária Alimentação I|Marília|SP
17510480|17510480|Palmital|Marília|SP
17511190|17511190|Núcleo Habitacional Castelo Branco|Marília|SP
17511825|17511825|César de Almeida|Marília|SP
17512100|17512100|Distrito Industrial|Marília|SP
17512450|17512450|Jardim Santa Antonieta|Marília|SP
17512816|17512816|Jardim Edisom da Silva Lima|Marília|SP
17519410|17519410|Jardim Portal do Sol|Marília|SP
17526000|17526000|Jardim Morumbi|Marília|SP
17527030|17527030|Jardim Polyana|Marília|SP
17527617|17527617|Conjunto Habitacional Vila dos Comerciários II|Marília|SP
17533220|17533220|Sítios de Recreio Letícia (Padre Nóbrega)|Marília|SP
17539108|17539108|Pedro Pereira de Mesquita (Lácio)|Marília|SP
17601040|17601120|Centro|Tupã|SP
17602850|17602850|Conjunto Habitacional Antônio Pereira Gaspar|Tupã|SP
17603252|17603252|Parque Bela Vista|Tupã|SP
17605110|17605110|Centro|Tupã|SP
17607152|17607152|Vila Abarca|Tupã|SP
18010250|18010250|Centro|Sorocaba|SP
18017368|18017368|Caputera|Sorocaba|SP
18022050|18022050|Vila João Romão|Sorocaba|SP
18040080|18040080|Vila Augusta|Sorocaba|SP
18044290|18044290|Vila Jardini|Sorocaba|SP
18051045|18051045|Central Parque Sorocaba|Sorocaba|SP
18052020|18052020|Jardim Nova Manchester|Sorocaba|SP
18052826|18052826|Jardim Residencial Mont Blanc|Sorocaba|SP
18065509|18065509|Vila Barão|Sorocaba|SP
18066015|18066015|Vila Aeroporto|Sorocaba|SP
18072367|18072367|Parque São Bento|Sorocaba|SP
18073415|18073415|Jardim Santa Marta|Sorocaba|SP
18074635|18074635|Jardim São Guilherme|Sorocaba|SP
18075970|18075970|Vila Guimarães|Sorocaba|SP
18077510|18077510|Parque das Laranjeiras|Sorocaba|SP
18078452|18078452|Parque Vitória Régia|Sorocaba|SP
18079133|18079133|Jardim Santa Esmeralda|Sorocaba|SP
18079342|18079342|Jardim Paulista|Sorocaba|SP
18079720|18079720|Habiteto - Ana Paula Eleutério|Sorocaba|SP
18080250|18080250|Jardim Leandro Dromani|Sorocaba|SP
18081110|18081110|Jardim Maria do Carmo|Sorocaba|SP
18087178|18087178|Iporanga|Sorocaba|SP
18087350|18087350|Aparecida|Sorocaba|SP
18108828|18108828|Inhayba|Sorocaba|SP
18111132|18111132|Vila Vasques|Votorantim|SP
18115320|18115320|Vila Votocel|Votorantim|SP
18115700|18115700|Vila Rodrigues|Votorantim|SP
18117260|18117260|Parque Jataí|Votorantim|SP
18117530|18117674|Vila Pedroso|Votorantim|SP
18119286|18119286|Parque Santa Márcia|Votorantim|SP
18132653|18132653|Guaçu|São Roque|SP
18132804|18132804|Mombaça|São Roque|SP
18134350|18134350|Jardim Tanzi|São Roque|SP
18135131|18135131|Taboão|São Roque|SP
18136160|18136160|Vila Junqueira|São Roque|SP
18143856|18143856|Vila Darcy Penteado (Mailasqui)|São Roque|SP
18145037|18145037|Residencial Sítio Pinheiro (Canguera)|São Roque|SP
18204010|18204010|Vale San Fernando|Itapetininga|SP
18205750|18205750|Vila La Brunetti|Itapetininga|SP
18207700|18207700|Jardim Bela Vista|Itapetininga|SP
18207816|18207816|Tupy|Itapetininga|SP
18209320|18209320|Vila Regina|Itapetininga|SP
18212479|18212479|Vila Prado|Itapetininga|SP
18213605|18213605|Jardim Marabá|Itapetininga|SP
18214719|18214719|Jardim Nova Era|Itapetininga|SP
18270780|18270780|Centro|Tatuí|SP
18271170|18271170|Chácara Junqueira|Tatuí|SP
18274660|18274660|Jardim Novo Horizonte|Tatuí|SP
18275610|18275610|Jardim Rosa Garcia|Tatuí|SP
18278610|18278610|Vila São Paulo|Tatuí|SP
18304518|18304518|Vila Nova Capão Bonito|Capão Bonito|SP
18304763|18304763|Querência do Turvo|Capão Bonito|SP
18305120|18305120|Jardim Alvorada|Capão Bonito|SP
18305455|18305455|Jardim Cruzeiro|Capão Bonito|SP
18306530|18306530|Vila Santa Isabel|Capão Bonito|SP
18400970|18400970|Centro|Itapeva|SP
18401060|18401060|Vila Aparecida|Itapeva|SP
18404510|18404510|Bairro de Cima|Itapeva|SP
18412151|18412151|Kantiã|Itapeva|SP
18425970|18425970|Centro|Taquarivaí|SP
18440000|18440000|-|Itaberá|SP
18601010|18601010|Vila Santa Clara|Botucatu|SP
18601121|18601121|Conjunto Residencial Indamar|Botucatu|SP
18601696|18601696|Conjunto Habitacional Joaquim Vernini|Botucatu|SP
18610141|18610141|Jardim Paraíso II|Botucatu|SP
18611440|18611440|Jardim Cristina|Botucatu|SP
18618018|18618018|Jardim Nossa Senhora das Graças (Rubião Junior)|Botucatu|SP
18618154|18618154|Jardim Dona Marta (Rubião Junior)|Botucatu|SP
18619286|18619286|Querência do Rio Bonito (Vitoriana)|Botucatu|SP
18682650|18682650|Vila São Judas Tadeu|Lençóis Paulista|SP
18685460|18685460|Núcleo Habitacional Luis Zillo|Lençóis Paulista|SP
18701813|18701813|Conjunto Habitacional Mario Emílio Bannwart|Avaré|SP
18702593|18702593|Jardim Paraíso|Avaré|SP
18703580|18703580|Parque Residencial Gilberto Filgueiras II|Avaré|SP
18704574|18704574|Loteamento Terras de São José|Avaré|SP
18705863|18705872|Loteamento Porto Seguro|Avaré|SP
18706300|18706300|Jardim Boa Vista|Avaré|SP
18708831|18708831|Morada do Sol|Avaré|SP
18900000|18900000|-|Santa Cruz do Rio Pardo|SP
19024418|19024418|Porto Bello Residence|Presidente Prudente|SP
19026765|19026765|Jardim Cobral|Presidente Prudente|SP
19030615|19030615|Parque Residencial Jarina|Presidente Prudente|SP
19031120|19031120|Jardim Santa Filomena|Presidente Prudente|SP
19033480|19033480|Vila Angélica|Presidente Prudente|SP
19034665|19034675|Brasil Novo|Presidente Prudente|SP
19036142|19036142|Conjunto Habitacional João Domingos Netto|Presidente Prudente|SP
19045290|19045290|Jardim Santa Mônica|Presidente Prudente|SP
19050630|19050630|Vila Mathilde Vieira|Presidente Prudente|SP
19053687|19053687|Parque Residencial Damha|Presidente Prudente|SP
19063400|19063400|Jardim Santa Fé|Presidente Prudente|SP
19064460|19064460|Conjunto Habitacional Ana Jacinta|Presidente Prudente|SP
19066295|19066295|Jardim Novo Bongiovani|Presidente Prudente|SP
19097608|19097608|Parque Residencial Francisco Belo Galindo|Presidente Prudente|SP
19100380|19100380|Conjunto Habitacional Jardim Humberto Salvador|Presidente Prudente|SP
19140025|19140025|Centro (Ameliópolis)|Presidente Prudente|SP
19260000|19260000|-|Mirante do Paranapanema|SP
19800101|19800101|Vila Funari|Assis|SP
19803015|19803015|Vila Ribeiro|Assis|SP
19804190|19804190|Vila Cambuí|Assis|SP
19804725|19804725|Núcleo Habitacional Dirceu Gomes Cervilha|Assis|SP
19813367|19813367|Parque das Flores|Assis|SP
19814060|19814060|Centro|Assis|SP
19814140|19814140|Vila Maria|Assis|SP
19900030|19900030|Centro|Ourinhos|SP
19902444|19902444|Vila São Silvestre|Ourinhos|SP
19911700|19911700|Vila Christoni|Ourinhos|SP
19914210|19914210|Jardim São Domingos|Ourinhos|SP
19915488|19915488|Conjunto Habitacional Orlando Quagliato|Ourinhos|SP
19915550|19915550|Jardim Anchieta|Ourinhos|SP
20020901|20020901|Centro|Rio de Janeiro|RJ
20180007|20180007|Baia de Guanabara|Rio de Janeiro|RJ
20211984|20211984|Cidade Nova|Rio de Janeiro|RJ
20251030|20251030|Catumbi|Rio de Janeiro|RJ
20251420|20251420|Santa Teresa|Rio de Janeiro|RJ
20270110|20270110|Praça da Bandeira|Rio de Janeiro|RJ
20521160|20521470|Tijuca|Rio de Janeiro|RJ
20535240|20535240|Alto da Boa Vista|Rio de Janeiro|RJ
20710005|20710005|Méier|Rio de Janeiro|RJ
20750260|20750260|Pilares|Rio de Janeiro|RJ
20751340|20751340|Piedade|Rio de Janeiro|RJ
20765295|20765295|Inhaúma|Rio de Janeiro|RJ
20766680|20766680|Engenho da Rainha|Rio de Janeiro|RJ
20921170|20921170|São Cristóvão|Rio de Janeiro|RJ
20930060|20930060|Benfica|Rio de Janeiro|RJ
20941210|20941290|São Cristóvão|Rio de Janeiro|RJ
20943180|20943530|Mangueira|Rio de Janeiro|RJ
21041430|21041430|Manguinhos|Rio de Janeiro|RJ
21042290|21042290|Olaria|Rio de Janeiro|RJ
21050581|21050581|Maria da Graça|Rio de Janeiro|RJ
21051370|21051415|Inhaúma|Rio de Janeiro|RJ
21051450|21051450|Higienópolis|Rio de Janeiro|RJ
21060440|21060440|Ramos|Rio de Janeiro|RJ
21061110|21061110|Higienópolis|Rio de Janeiro|RJ
21220790|21230420|Irajá|Rio de Janeiro|RJ
21240470|21240470|Jardim América|Rio de Janeiro|RJ
21241140|21241140|Vigário Geral|Rio de Janeiro|RJ
21311170|21311170|Cascadura|Rio de Janeiro|RJ
21321720|21321720|Praça Seca|Rio de Janeiro|RJ
21341311|21341311|Oswaldo Cruz|Rio de Janeiro|RJ
21361540|21361540|Irajá|Rio de Janeiro|RJ
21380010|21381490|Quintino Bocaiúva|Rio de Janeiro|RJ
21511440|21511440|Coelho Neto|Rio de Janeiro|RJ
21525250|21525250|Pavuna|Rio de Janeiro|RJ
21530160|21530160|Coelho Neto|Rio de Janeiro|RJ
21531680|21531680|Acari|Rio de Janeiro|RJ
21535230|21535230|Parque Colúmbia|Rio de Janeiro|RJ
21610500|21610500|Marechal Hermes|Rio de Janeiro|RJ
21615410|21615410|Vila Militar|Rio de Janeiro|RJ
21640120|21640120|Ricardo de Albuquerque|Rio de Janeiro|RJ
21645500|21655290|Anchieta|Rio de Janeiro|RJ
21665080|21665080|Ricardo de Albuquerque|Rio de Janeiro|RJ
21670620|21670620|Marechal Hermes|Rio de Janeiro|RJ
21725252|21725292|Padre Miguel|Rio de Janeiro|RJ
21740520|21740520|Magalhães Bastos|Rio de Janeiro|RJ
21770220|21770220|Realengo|Rio de Janeiro|RJ
21775170|21775170|Padre Miguel|Rio de Janeiro|RJ
21815285|21825435|Bangu|Rio de Janeiro|RJ
21831265|21831463|Senador Camará|Rio de Janeiro|RJ
21840000|21870020|Bangu|Rio de Janeiro|RJ
21911016|21911016|Freguesia (Ilha do Governador)|Rio de Janeiro|RJ
21921200|21921200|Jardim Carioca|Rio de Janeiro|RJ
21921550|21921550|Praia da Bandeira|Rio de Janeiro|RJ
21921720|21921720|Jardim Carioca|Rio de Janeiro|RJ
21922340|21922340|Tauá|Rio de Janeiro|RJ
21932867|21932867|Portuguesa|Rio de Janeiro|RJ
21940110|21940110|Jardim Guanabara|Rio de Janeiro|RJ
22071010|22071010|Copacabana|Rio de Janeiro|RJ
22260007|22260162|Botafogo|Rio de Janeiro|RJ
22291020|22291020|Urca|Rio de Janeiro|RJ
22410002|22410002|Ipanema|Rio de Janeiro|RJ
22461010|22461010|Jardim Botânico|Rio de Janeiro|RJ
22621070|22630070|Barra da Tijuca|Rio de Janeiro|RJ
22641506|22641506|Itanhangá|Rio de Janeiro|RJ
22710245|22713164|Taquara|Rio de Janeiro|RJ
22713210|22713210|Jacarepaguá|Rio de Janeiro|RJ
22720010|22723018|Taquara|Rio de Janeiro|RJ
22725640|22725640|Tanque|Rio de Janeiro|RJ
22750053|22750053|Freguesia (Jacarepaguá)|Rio de Janeiro|RJ
22750065|22750065|Anil|Rio de Janeiro|RJ
22753005|22753730|Itanhangá|Rio de Janeiro|RJ
22753972|22753972|Anil|Rio de Janeiro|RJ
22763620|22773230|Cidade de Deus|Rio de Janeiro|RJ
22775036|22775036|Barra da Tijuca|Rio de Janeiro|RJ
22775049|22775049|Jacarepaguá|Rio de Janeiro|RJ
22775740|22775740|Cidade de Deus|Rio de Janeiro|RJ
23017430|23017430|Campo Grande|Rio de Janeiro|RJ
23020640|23036049|Guaratiba|Rio de Janeiro|RJ
23040100|23055310|Campo Grande|Rio de Janeiro|RJ
23059782|23064220|Inhoaíba|Rio de Janeiro|RJ
23066240|23066240|Paciência|Rio de Janeiro|RJ
23066465|23066465|Cosmos|Rio de Janeiro|RJ
23071636|23080040|Campo Grande|Rio de Janeiro|RJ
23085330|23085330|Senador Vasconcelos|Rio de Janeiro|RJ
23087270|23092632|Campo Grande|Rio de Janeiro|RJ
23093550|23093550|Santíssimo|Rio de Janeiro|RJ
23095500|23097650|Campo Grande|Rio de Janeiro|RJ
23098260|23098260|Santíssimo|Rio de Janeiro|RJ
23510241|23520714|Santa Cruz|Rio de Janeiro|RJ
23535130|23535340|Sepetiba|Rio de Janeiro|RJ
23570043|23570650|Santa Cruz|Rio de Janeiro|RJ
23575487|23575487|Paciência|Rio de Janeiro|RJ
23821530|23821530|Ilha da Madeira|Itaguaí|RJ
23825010|23825010|Coroa Grande|Itaguaí|RJ
23826220|23826220|Brisa Mar|Itaguaí|RJ
23831313|23831490|Chaperó|Itaguaí|RJ
23836490|23836490|Águas Lindas|Itaguaí|RJ
23850310|23850310|Parque Jocimar|Itaguaí|RJ
23860990|23860990|-|Mangaratiba|RJ
23890007|23890007|Jardins|Seropédica|RJ
23891490|23891490|Ecologia|Seropédica|RJ
23892095|23892095|Santa Alice|Seropédica|RJ
23895150|23895175|Fazenda Caxias|Seropédica|RJ
23895740|23895740|Santa Sofia|Seropédica|RJ
23898120|23898120|Campo Lindo|Seropédica|RJ
23898515|23898515|Piranema|Seropédica|RJ
23912440|23912440|Camorim|Angra dos Reis|RJ
23916120|23916120|Monsuaba|Angra dos Reis|RJ
23932170|23932170|Areal (Cunhambebe)|Angra dos Reis|RJ
23932495|23932495|Campo Belo (Cunhambebe)|Angra dos Reis|RJ
23934195|23934195|Japuíba (Cunhambebe)|Angra dos Reis|RJ
23953090|23953510|Parque Perequê (Mambucaba)|Angra dos Reis|RJ
23954240|23955405|Parque Mambucaba (Mambucaba)|Angra dos Reis|RJ
24130600|24130736|Fonseca|Niterói|RJ
24140400|24140400|Caramujo|Niterói|RJ
24230126|24230126|Icaraí|Niterói|RJ
24240450|24240450|Cubango|Niterói|RJ
24315310|24315310|Ititioca|Niterói|RJ
24322260|24322260|Mata Paca|Niterói|RJ
24346053|24346053|Itaipu|Niterói|RJ
24348010|24348010|Itacoatiara|Niterói|RJ
24350090|24350090|Piratininga|Niterói|RJ
24358620|24358620|Camboinhas|Niterói|RJ
24417210|24417210|Engenho Pequeno|São Gonçalo|RJ
24421040|24421040|Rocha|São Gonçalo|RJ
24422560|24422560|Galo Branco|São Gonçalo|RJ
24435821|24435821|Porto Novo|São Gonçalo|RJ
24451570|24451570|Colubande|São Gonçalo|RJ
24455475|24455720|Nova Cidade|São Gonçalo|RJ
24461660|24461660|Itaúna|São Gonçalo|RJ
24470270|24470400|Porto do Rosa|São Gonçalo|RJ
24471304|24471304|Itaoca|São Gonçalo|RJ
24474175|24476570|Itaúna|São Gonçalo|RJ
24711171|24711171|Vila Três|São Gonçalo|RJ
24715190|24716454|Jardim Catarina|São Gonçalo|RJ
24720520|24720520|Laranjal|São Gonçalo|RJ
24724775|24724775|Monjolos|São Gonçalo|RJ
24726123|24726123|Guaxindiba|São Gonçalo|RJ
24732045|24732045|Amendoeira|São Gonçalo|RJ
24737596|24738807|Santa Isabel|São Gonçalo|RJ
24744300|24744300|Colubande|São Gonçalo|RJ
24754090|24754090|Maria Paula|São Gonçalo|RJ
24800129|24800129|Centro|Itaboraí|RJ
24800383|24800383|Sossego|Itaboraí|RJ
24804373|24804373|Quissamã|Itaboraí|RJ
24805729|24805729|Itaville|Itaboraí|RJ
24808336|24808336|Ampliação|Itaboraí|RJ
24810176|24810176|Sapê|Itaboraí|RJ
24812396|24812396|Santo Expedito|Itaboraí|RJ
24858048|24858048|Aldeia da Prata (Manilha)|Itaboraí|RJ
24858600|24858600|Apolo II (Manilha)|Itaboraí|RJ
24859380|24859676|Marambaia (Manilha)|Itaboraí|RJ
24860120|24860120|Novo Horizonte (Manilha)|Itaboraí|RJ
24860460|24860460|Granjas Cabuçu (Manilha)|Itaboraí|RJ
24866000|24866000|Grande Rio (Itambi)|Itaboraí|RJ
24868036|24868044|Centro (Itambi)|Itaboraí|RJ
24900209|24900490|Centro|Maricá|RJ
24906010|24906010|Silvado|Maricá|RJ
24910060|24910060|Caxito|Maricá|RJ
24911320|24911320|Camburi|Maricá|RJ
24917090|24917515|Jardim Interlagos (Ponta Negra)|Maricá|RJ
24919660|24919660|Pindobal (Ponta Negra)|Maricá|RJ
24920590|24920590|Balneário Bambuí (Ponta Negra)|Maricá|RJ
24924020|24924020|Jaconé (Ponta Negra)|Maricá|RJ
24930484|24931775|São José do Imbassaí|Maricá|RJ
24932140|24932615|Cajueiros (Itaipuaçu)|Maricá|RJ
24933115|24933400|Jardim Atlântico Leste (Itaipuaçu)|Maricá|RJ
24936460|24936460|Barroco (Itaipuaçu)|Maricá|RJ
24937010|24937010|Recanto de Itaipuaçu (Itaipuaçu)|Maricá|RJ
24939270|24939270|Itaocaia Valley (Itaipuaçu)|Maricá|RJ
24940520|24940640|Chácaras de Inoã (Inoã)|Maricá|RJ
24943600|24943650|Inoã (Inoã)|Maricá|RJ
25010008|25010008|Centro|Duque de Caxias|RJ
25025085|25025085|Parque Senhor do Bonfim|Duque de Caxias|RJ
